name,run,seed,MAE,WAPE,MedAPE
LightGBM,1,42,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,1,42,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,1,42,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,2,43,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,2,43,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,2,43,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,3,44,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,3,44,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,3,44,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,4,45,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,4,45,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,4,45,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,5,46,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,5,46,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,5,46,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,6,47,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,6,47,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,6,47,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,7,48,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,7,48,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,7,48,9.897384659831046,0.07122152769645317,0.047052737327150894
LightGBM,8,49,9.569417535495067,0.06886147800330325,0.04450375623996036
XGBoost,8,49,10.76179438479476,0.07744181550818682,0.04441177247382095
CatBoost,8,49,9.897384659831046,0.07122152769645317,0.047052737327150894
